Recipe ID,Recipe Name,Ingredients,Preparation Steps,URL
8751351,Chicken Bacon Ranch Tater Tot Casserole,"['cooking spray', '1 (32 ounce) package frozen potato tots (about 6 1/2 cups) (such as Ore-Ida® Crispy Tater Tots)', '1 (10.5 ounce) can cream of chicken soup (such as Campbell’s®)', '1 cup sour cream', '2/3 cup ranch dressing', '1 (1 ounce) envelope ranch dressing mix', '1/2 teaspoon cracked\xa0black pepper', '1/2 teaspoon granulated garlic', '5 cups shredded rotisserie chicken (from 1 [3 pound] chicken)', '4 ounces sharp Cheddar cheese, shredded', '1 1/4 cups cooked and crumbled bacon (about 10 slices), divided', 'sliced scallions']","['Gather all ingredients. Preheat oven to 450 degrees F (200 degrees C). Lightly coat a 9x13-inch baking dish with cooking spray.', 'Dotdash Meredith Food Studios', 'Spread potato tots on a large baking sheet into an even layer.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until golden and crispy, about 35 minutes. Remove from oven and set aside. Reduce oven temperature to 375 degrees F (190 degrees C).', 'While potato tots cook, whisk together cream of chicken soup, sour cream, ranch dressing, ranch dressing mix, black pepper, and granulated garlic in a large bowl until thoroughly combined. Fold in chicken, Cheddar, and 1 cup of the cooked bacon until fully coated in sour cream mixture.', 'Dotdash Meredith Food Studios', 'Transfer chicken mixture to prepared baking dish and spread it into an even layer. Top evenly with cooked potato tots. Bake in preheated oven until bubbling around edges, 30 to 35 minutes.', 'Dotdash Meredith Food Studios', 'Sprinkle evenly with remaining 1/4 cup cooked bacon; garnish with scallions.', 'Dotdash Meredith Food Studios', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/chicken-bacon-ranch-tater-tot-casserole-recipe-8751351
8695137,Homemade Spaghetti-O's,"['16 ounces ring-shaped pasta \xa0(Anelli Siciliani)', '30 ounces tomato sauce', '1 tablespoon Cantanzaro herbs, (such as Savory Spice Shop® Cantanzaro herbs)', '2 teaspoons white sugar', '1 teaspoon salt, or to taste', '1/2 teaspoon freshly ground black pepper', '16 ounces Italian-style meatballs', '1/2 cup freshly shaved Parmesan cheese, or as needed, for garnish', 'fresh basil, for garnish']","['Fill a large pot with lightly salted water and bring to a rolling boil. Stir in pasta and return to a boil. Cook, uncovered, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Reserve 1/2 cup pasta water, drain pasta, and set aside.', 'Add tomato sauce, Cantanzaro herbs, sugar, salt. and pepper to the pot; bring to a simmer over medium-low heat.', 'Meanwhile, cut each meatball into 4 pieces. Roll each piece into a mini meatball. Drop meatballs into sauce; simmer until heated through, about 10 minutes. If sauce seems too thick, thin out by adding pasta water, 1 tablespoon at a time.', 'Stir in cooked pasta rings. Garnish with basil leaves and Parmesan shavings and serve immediately.', 'Italian-style meatballs are found in the refrigerated section of most grocery stores. I found Cantanzaro herbs and anelli pasta online.']",https://www.allrecipes.com/homemade-spaghetti-o-s-recipe-8695137
8672792,Sloppy Joe Cornbread Casserole,"['cooking spray', '2 pounds ground chuck', '2 cups finely chopped yellow onion', '1 cup finely chopped green bell pepper', '3 tablespoons tomato paste', '2 cups beef broth', '1 ½\xa0 cups ketchup', '3 tablespoons yellow mustard', '2 tablespoons Worcestershire sauce', '2 tablespoons packed light brown sugar', '1 teaspoon garlic powder', '½\xa0 teaspoon freshly ground black pepper', '2 (8.5 ounce) packages corn muffin mix (such as Jiffy)', '⅔ cup whole milk', '1 ½\xa0 teaspoons baking powder', '2 large eggs']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 9x13-inch baking dish with cooking spray.', 'Dotdash Meredith Food Studios', 'Heat a large skillet over medium-high heat. Add ground beef; cook, stirring occasionally and breaking up meat into smaller pieces with a wooden spoon, until almost fully browned, about 4 minutes. Add onion and bell pepper, and cook over medium-high, stirring occasionally, until softened and tender, 6 to 8 minutes.', 'Dotdash Meredith Food Studios', 'Stir in tomato paste; cook, stirring constantly, until tomato paste has slightly darkened in color, about 2 minutes. Stir in beef broth, using a spatula to scrape any browned bits from bottom of pan. Stir in ketchup, mustard, Worcestershire sauce, sugar, garlic powder, and black pepper until fully combined. Bring to a boil over medium-high, and cook, stirring occasionally, until sauce thickens and bubbles appear all over the surface, about 7 minutes. Remove from heat, and transfer to the prepared baking dish.', 'Dotdash Meredith Food Studios', 'Whisk together corn muffin mix, milk, baking powder, and eggs in a medium bowl until fully combined; spoon in an even layer over sloppy Joe filling.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until cornbread is golden brown and a wooden pick inserted in the center comes out clean, 20 to 25 minutes. Serve immediately.', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/sloppy-joe-cornbread-casserole-recipe-8672792
8672248,Buffalo Chicken Tater Tot Casserole,"['cooking spray', '1 (10.5 ounce) can cream of chicken soup\xa0(such as Campbell’s®)', '3/4 cup ranch dressing', '2/3 cup sour cream', '1/2 cup buffalo-style hot sauce (such as Frank’s RedHot®)', '1/2 teaspoon garlic powder', '1/4 teaspoon freshly ground black pepper', '5 cups shredded rotisserie chicken (from 1 (3 pound) rotisserie chicken)', '1 1/2 cups sharp Cheddar cheese, shredded, divided', '6 cups frozen potato tots', 'chopped scallions, for garnish']","['Gather all ingredients. Preheat oven to 425 degrees F (220 degrees C). Lightly coat a 9x13 inch baking dish with cooking spray.', 'Dotdash Meredith Food Studios', 'Whisk together cream of chicken soup, ranch dressing, sour cream, hot sauce, garlic powder, and black pepper in a large bowl until fully combined. Fold in chicken and 3/4 cup Cheddar until fully coated in ranch mixture. Transfer to the prepared baking dish. Top evenly with potato tots.', 'Dotdash Meredith Food Studios', 'Transfer to prepared baking dish. Top evenly with potato tots.', 'Dotdash Meredith Food Studios', 'Bake in the preheated oven until potato tots are golden brown and cooked through and filling is bubbling around edges, about 25 minutes. Remove pan from oven, and sprinkle remaining 3/4 cup Cheddar evenly over potato tots.', 'Dotdash Meredith Food Studios', 'Return to the oven, and continue to bake at 425 degrees F (220 degrees C) until Cheddar is melted, about 5 minutes. Garnish with scallions.', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/buffalo-chicken-tater-tot-casserole-recipe-8672248
8651121,Trout Tacos,"['16 white corn tortillas', '1/2 pound purple cabbage, thinly sliced', '2 green onions, sliced, green and white parts separated', '1/2 pound coleslaw mix', '3 tablespoons Mexican crema, plus more for serving', '1 teaspoon lime zest, or more to taste', 'lime wedges as needed, divided', '2 tablespoons cilantro leaves, or to taste', 'salt and freshly ground black pepper', '4 trout filets', '3 tablespoons plus 1 teaspoon tapioca starch', '1 tablespoon ground cumin', '2 teaspoons chipotle powder', '1 teaspoon Mexican oregano', '3 tablespoons vegetable oil\xa0for frying, or as needed', '1/2 cup prepared guacamole, or as needed for serving']","['Preheat the oven to 400 degrees F (200 degrees C). Wrap tortillas in foil.', 'Bake tortillas in the preheated oven until warm, 8 to 10 minutes.', 'Meanwhile, place cabbage, white parts of green onion, coleslaw mix, 3 tablespoons Mexican crema, lime zest, juice of 2 lime wedges, and cilantro in a large bowl. Toss to coat; season with salt and pepper. Set aside..', 'Carefully remove skin from trout. Cut each trout filet into 2- to 3-inch pieces. Stir tapioca starch, cumin, chipotle powder, and Mexican oregano together in a shallow bowl.', 'Dip fish pieces into seasoning mixture to coat.', 'Heat oil in a large skillet over medium-high heat until hot. Add coated fish pieces; cook until golden brown and fish flakes easily with a fork, 2 to 3 minutes per side. Transfer to a drip tray, and season with salt.', 'Using 2 corn tortillas for each taco, divide fish, slaw, and guacamole between the tacos. Garnish each with green tops of scallions. Serve with remaining lime wedges and crema on the side. Enjoy!']",https://www.allrecipes.com/trout-tacos-recipe-8651121
8629517,Slow Cooker Honey Garlic Chicken Noodles,"['1/3 cup honey', '1/4 cup lower-sodium soy sauce', '6 medium garlic cloves, minced', '2 tablespoons dark soy sauce or soy sauce', '2 tablespoons oyster sauce', '1 tablespoon Sriracha chile sauce', '1 tablespoon Shaoxing wine or dry sherry', '2 teaspoons grated fresh ginger', '2 teaspoons toasted sesame oil', '1/2 teaspoon kosher salt', '1 1/2 pounds boneless, skinless chicken thighs', '2 tablespoons tap water', '1 tablespoon cornstarch', '16 ounces fresh lo mein noodles, cooked according to package directions', '3 large (1/2-ounce each) scallions, thinly sliced, plus more for garnish', 'white sesame seeds']","['Gather all ingredients.', 'Dotdash Meredith Food Studios', 'Stir together honey, soy sauce, garlic, dark soy sauce, oyster sauce, Sriracha, Shaoxing wine, ginger, sesame oil, and salt in a 6-quart slow cooker. Place chicken thighs in a single layer into the honey mixture.', 'Dotdash Meredith Food Studios', 'Cover and cook until chicken is tender, about 3 hours on HIGH and 5 hours on LOW.', 'Dotdash Meredith Food Studios', 'Stir together water and cornstarch in a small bowl until smooth. Transfer chicken from the slow cooker to a cutting board and shred with a fork.', 'Dotdash Meredith Food Studios', 'With slow cooker on HIGH, stir in cornstarch mixture until slightly thickened, about 30 seconds. Turn off slow cooker. Return shredded chicken to slow cooker along with cooked noodles and scallions; toss to coat.', 'Dotdash Meredith Food Studios', 'Divide noodle mixture evenly among 6 serving bowls, and garnish with scallions and sesame seeds.', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/slow-cooker-honey-garlic-chicken-noodles-recipe-8629517
8624279,Teriyaki Salmon Bowl,"['1/4 cup low-sodium soy sauce', '3 tablespoons brown sugar', '1 small clove garlic, chopped', '1 tablespoon chopped fresh ginger', '1 (6 ounce) salmon filet', '1/4 cup grated carrots', '2 radishes, thinly sliced', '1 cup shredded red cabbage', '1 cup cooked rice', '1 teaspoon sesame seeds (optional)', '1 green onion, thinly sliced (optional)']","['Preheat the oven to 400 degrees F (200 degrees C) and spray a baking dish with cooking spray.', 'Combine soy sauce, brown sugar, garlic, and ginger in a small bowl. Place the salmon in the prepared baking dish, skin side down. Pour teriyaki sauce over.', 'Bake in the preheated oven until fish flakes easily with a fork, 12 to 15 minutes.', 'Place rice in a bowl, top with salmon, and spoon over teriyaki sauce from the baking dish. Add in the shredded cabbage, grated carrots, and radishes. Sprinkle with sliced green onions and sesame seeds, to garnish.']",https://www.allrecipes.com/teriyaki-salmon-bowl-recipe-8624279
8601280,Marry Me Chicken Tortellini,"['4 thick-cut bacon slices', '2 (8 ounce) boneless, skinless chicken breasts, pounded to 1 inch thickness', '1/2 teaspoon freshly ground black pepper', '1 1/4 teaspoons kosher salt, divided', '3/4 cup drained julienne-cut sundried tomatoes in oil with herbs', '1/2 cup finely chopped shallot', '4 large garlic cloves, finely chopped', '1 1/2 teaspoons\xa0dried Italian seasoning', '1/2 teaspoon crushed red pepper', '2 tablespoons tomato paste', '1/2 cup lower-sodium\xa0chicken broth', '1 cup heavy whipping cream', '1 (20 ounce) package refrigerated cheese tortellini', '1/2 cup pre-grated Parmesan cheese, plus more for garnish', 'torn fresh basil leaves']","['Gather all ingredients. Fill a large saucepan with salted water and bring to a boil over high heat.', 'Dotdash Meredith Food Studios', 'Meanwhile, heat a large skillet over medium heat. Add chopped bacon; cook, stirring occasionally, until rendered and crispy, about 8 minutes. Using a slotted spoon, transfer bacon to a paper towel-lined plate to drain, reserving about 3 tablespoons drippings in skillet.', 'Dotdash Meredith Food Studios', 'While bacon cooks, sprinkle chicken evenly with pepper and 1/4 teaspoon of the salt. Add chicken to skillet with drippings; cook over medium-high, until chicken is browned and cooked through (a thermometer inserted into thickest portion of chicken registers 165 degrees F (73 degrees C)), 5 to 6 minutes per side, reducing heat if bottom of pan gets too dark. Transfer chicken to a plate; set aside until cool enough to handle, about 10 minutes. Chop chicken into bite-size pieces.', 'Dotdash Meredith Food Studios', 'Reduce heat to medium, and add sundried tomatoes and shallot. Cook, stirring often, until softened, about 2 minutes. Add garlic, Italian seasoning, crushed red pepper, and remaining 1 teaspoon salt. Cook, stirring constantly, until fragrant, about 30 seconds. Add tomato paste; cook, stirring constantly, until deepened in color, about 1 minute.', 'Dotdash Meredith Food Studios', 'Pour in chicken broth; cook, stirring and scraping constantly to deglaze the skillet, about 1 minute. Stir in cream and bring to a simmer over medium. Simmer, stirring occasionally, until slightly thickened, 3 to 5 minutes.', 'Dotdash Meredith Food Studios', 'Add tortellini to boiling water, and boil until tortellini are tender and float to the surface, 3 to 5 minutes. Reserve 1 cup cooking water. Drain.', 'Dotdash Meredith Food Studios', 'Stir Parmesan cheese, reserved cooked bacon, reserved chopped chicken, and tortellini into skillet with cream mixture. Cook, stirring and tossing constantly, until evenly coated in sauce. Add reserved cooking water, 1/4 cup at a time, if necessary to maintain a creamy consistency. Divide mixture among 6 bowls; garnish with additional Parmesan cheese and a generous scattering of fresh basil.', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/marry-me-chicken-tortellini-recipe-8601280
8580443,Copycat McDonald's Filet-o-Fish Sandwich,"['canola oil, for frying', '4 (4-ounce) skinless cod fillets (about 4- x 4-inch large and 1-inch thick)', '1 teaspoon kosher salt, divided', '1 large egg', '1 tablespoon mayonnaise', '1 tablespoon Dijon mustard', '1 tablespoon corn starch', '1 tablespoon all-purpose flour', '1/4 teaspoon paprika', '2 cups panko (Japanese-style breadcrumbs)', '4 brioche hamburger buns, split', '4 (1/2-ounce each) processed American cheese slices', '2 teaspoons tap water', ""McDonald's Tartar Sauce"", 'cooked shoestring fries, for serving']","['Gather all ingredients. Pour oil to a depth of 2 inches in a large Dutch oven; heat oil over medium-high to 360 degrees F (182 degrees C). Preheat oven to 200 degrees F (93 degrees C). Set a wire rack inside a large rimmed baking sheet; set aside.', 'Dotdash Meredith Food Studios', 'While oil heats, pat fillets dry with paper towels, and sprinkle evenly with 1/2 teaspoon of the salt. Whisk together egg, mayonnaise, Dijon mustard, corn starch, flour, paprika, and remaining 1/2 teaspoon salt in a medium shallow bowl until combined. Place panko in another shallow bowl. Working with one fillet at a time, dip into egg mixture, flipping to coat all sides and letting excess drip off. Place in bowl with panko, and coat all sides. Place on a large plate; repeat with remaining fillets.', 'Dotdash Meredith Food Studios', 'Gently add 2 fillets to hot oil; fry, gently stirring and flipping fillets in oil occasionally, until golden brown and crispy, 3 to 5 minutes. Remove fillets from oil using a slotted spoon, and place on prepared wire rack. Place in preheated oven to keep warm while repeating frying process with remaining 2 fillets.', 'Dotdash Meredith Food Studios', 'Working with 2 buns at a time, place bottom buns on a large microwavable plate; top each bun with 1 cheese slice. Lightly sprinkle a small paper towel with water, and place in small microwavable bowl with bottom buns. Cover plate with an inverted microwavable glass bowl. Microwave on HIGH until buns are steamy and cheese is melted, 15 to 20 seconds. Carefully remove buns from plate; place top buns on the same plate and microwave on HIGH for 10 to 15 seconds.', 'Dotdash Meredith Food Studios', 'Immediately top bottom buns with a fish fillet and drizzle 2 tablespoons McDonald’s Tartar Sauce on top. Cover with top buns and serve immediately with shoestring fries. Repeat with remaining buns and fish fillets.', 'Dotdash Meredith Food Studios']",https://www.allrecipes.com/copycat-mcdonalds-filet-o-fish-sandwich-recipe-8580443
8584575,Parmesan-Crusted Baked Fish,"['1 lemon, divided', '1 tablespoon olive oil, divided', '1 clove garlic', '1/4 cup panko breadcrumbs', '1/4 cup grated Parmesan cheese', '1 1/2 teaspoons Catanzaro herbs', '1 pound white fish fillets (I used cod)', 'salt and freshly ground black pepper to taste', '1 tablespoon Dijon mustard']","['Preheat the oven to 450 degrees F (230 degrees C). Line a baking sheet with foil.', 'Cut lemon in half, and then into wedges. Squeeze juice from two lemon wedges into a small bowl. Add 2 teaspoons olive oil. Using a microphone grater, grate garlic clove into a paste; add to the bowl. Stir in panko, Parmesan cheese, and Catanzaro herbs.', 'Drizzle remaining 1 teaspoon oil onto the prepared baking sheet. Season both sides of cod with salt and pepper; place on the baking sheet. Brush cod with Dijon mustard, and press panko mixture evenly onto cod.', 'Bake in the preheated oven until fish flakes easily with a fork, about 15 minutes. Serve with remaining lemon wedges.', 'I used a microplane grater for the Parmesan; 1/4 cup finely grated cheese weighed about 20 grams.']",https://www.allrecipes.com/parmesan-crusted-baked-fish-recipe-8584575
